iter	Passed	Remaining
740	1037	362
741	1038	361
742	1039	359
743	1041	358
744	1042	356
745	1044	355
746	1045	354
747	1046	352
748	1047	351
749	1048	349
750	1049	348
751	1050	346
752	1051	345
753	1052	343
754	1053	341
755	1055	340
756	1056	339
757	1058	337
758	1059	336
759	1061	335
760	1062	333
761	1063	332
762	1064	330
763	1065	329
764	1066	327
765	1067	326
766	1068	324
767	1069	323
768	1071	321
769	1072	320
770	1073	318
771	1075	317
772	1076	316
773	1077	314
774	1079	313
775	1080	311
776	1081	310
777	1082	308
778	1083	307
779	1084	305
780	1086	304
781	1088	303
782	1089	301
783	1090	300
784	1091	299
785	1092	297
786	1093	296
787	1094	294
788	1095	293
789	1097	291
790	1098	290
791	1098	288
792	1100	287
793	1102	286
794	1104	284
795	1105	283
796	1107	282
797	1108	280
798	1109	279
799	1110	277
800	1111	276
801	1112	274
802	1113	273
803	1114	271
804	1116	270
805	1118	269
806	1119	267
807	1120	266
808	1121	264
809	1122	263
810	1123	261
811	1125	260
812	1126	259
813	1127	257
814	1128	256
815	1130	254
816	1131	253
817	1133	252
818	1134	250
819	1135	249
820	1136	247
821	1137	246
822	1138	244
823	1139	243
824	1140	241
825	1141	240
826	1142	238
827	1143	237
828	1144	236
829	1145	234
830	1147	233
831	1148	231
832	1150	230
833	1151	229
834	1152	227
835	1153	226
836	1154	224
837	1155	223
838	1156	221
839	1157	220
840	1158	219
841	1159	217
842	1161	216
843	1162	214
844	1163	213
845	1165	212
846	1166	210
847	1167	209
848	1168	207
849	1169	206
850	1170	204
851	1171	203
852	1172	202
853	1173	200
854	1174	199
855	1176	197
856	1177	196
857	1179	195
858	1180	193
859	1181	192
860	1182	190
861	1183	189
862	1184	188
863	1185	186
864	1187	185
865	1188	183
866	1189	182
867	1190	181
868	1193	179
869	1194	178
870	1195	177
871	1196	175
872	1197	174
873	1198	172
874	1199	171
875	1200	169
876	1201	168
877	1202	167
878	1203	165
879	1204	164
880	1206	162
881	1207	161
882	1208	160
883	1210	158
884	1211	157
885	1212	155
886	1213	154
887	1214	153
888	1215	151
889	1216	150
890	1217	148
891	1218	147
892	1219	146
893	1220	144
894	1222	143
895	1223	142
896	1225	140
897	1226	139
898	1227	137
899	1228	136
900	1229	135
901	1230	133
902	1231	132
903	1232	130
904	1233	129
905	1234	128
906	1235	126
907	1237	125
908	1238	124
909	1239	122
910	1240	121
911	1241	119
912	1243	118
913	1244	117
914	1245	115
915	1246	114
916	1247	112
917	1248	111
918	1249	110
919	1250	108
920	1251	107
921	1253	106
922	1254	104
923	1255	103
924	1257	101
925	1258	100
926	1259	99
927	1260	97
928	1261	96
929	1262	95
930	1263	93
931	1264	92
932	1265	90
933	1267	89
934	1268	88
935	1269	86
936	1271	85
937	1272	84
938	1273	82
939	1274	81
940	1275	79
941	1276	78
942	1277	77
943	1278	75
944	1279	74
945	1280	73
946	1282	71
947	1283	70
948	1284	69
949	1286	67
950	1287	66
951	1288	64
952	1289	63
953	1290	62
954	1291	60
955	1292	59
956	1293	58
957	1294	56
958	1295	55
959	1296	54
960	1297	52
961	1299	51
962	1300	49
963	1301	48
964	1302	47
965	1303	45
966	1305	44
967	1306	43
968	1307	41
969	1308	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1314	33
975	1315	32
976	1316	31
977	1318	29
978	1319	28
979	1320	26
980	1321	25
981	1322	24
982	1323	22
983	1324	21
984	1325	20
985	1326	18
986	1328	17
987	1329	16
988	1330	14
989	1331	13
990	1332	12
991	1334	10
992	1335	9
993	1336	8
994	1337	6
995	1338	5
996	1339	4
997	1340	2
998	1341	1
999	1343	0
